location,num_postings,posting_ids,number_of_sweeps,geometry
Hamilton St between 71st Ave and 72nd Ave,1,[ 920 ],1,"LINESTRING (-122.1918621 37.757932, -122.191328 37.7574101)"
Hamilton St between 70th Ave and 71st Ave,1,[ 921 ],1,"LINESTRING (-122.1923944 37.7584576, -122.1918621 37.757932)"
Hamilton St between 69th Ave and 70th Ave,1,[ 922 ],1,"LINESTRING (-122.1929238 37.7589803, -122.1923944 37.7584576)"
84th Ave between 83rd ave and Dowling St,1,[ 1426 ],1,"LINESTRING (-122.16632706228876 37.75983189563265, -122.167555 37.7592708)"
Dowling St between 83rd Ave and 84th Ave,1,[ 1425 ],1,"LINESTRING (-122.1681225 37.7600415, -122.167555 37.7592708)"
83rd Ave between 84th Ave & 83rd Ave | 83rd Ave between 84th Ave and 83rd Ave,2,[1427 2177],2,"LINESTRING (-122.16684637897492 37.76063334468134, -122.16676400633798 37.76063848587786, -122.1666407156631 37.76059648968833, -122.16634546894356 37.75984247757658)"
83rd Ave between Dowling St and 83rd Ave,2,[1428 2176],2,"LINESTRING (-122.16678526216515 37.76064377636447, -122.1681225 37.7600415)"
54th Ave between San Leandro St and E 8th St,2,[1448 1604],2,"LINESTRING (-122.2104356 37.7636855, -122.2096529 37.7643037)"
53rd Ave between E 8th St and San Leandro St,1,[ 1447 ],1,"LINESTRING (-122.2110522 37.7641929, -122.2102597 37.7648105)"
San Leandro St between 53rd Ave and 54th Ave,2,[1446 1605],2,"LINESTRING (-122.2102597 37.7648105, -122.2096529 37.7643037)"
Bancroft Ave between 74th Ave and 75th Ave,2,[1061 1117],2,"LINESTRING (-122.1760027 37.7656443, -122.17549890881044 37.76515464968394)"
Bancroft Ave between 73rd Ave and 74th Ave,3,[1062 1118 1291],3,"LINESTRING (-122.1765436293045 37.766182893907725, -122.1760027 37.7656443)"
50th Ave between E 12th St & San Leandro St,3,[435 463 490],1,"LINESTRING (-122.2106631 37.7676667, -122.2121224 37.7663816)"
Alameda Avenue between High St and E 8th St,2,[1931 2075],2,"LINESTRING (-122.2213978 37.7681387, -122.22104592201238 37.76807030513358, -122.22080477160117 37.768066305933246, -122.22068 37.768)"
Alameda Avenue between Oakport St and  E 8th St,7,[ 936 1313 1383 1388 1396 1444 1467],6,"LINESTRING (-122.2213978 37.7681387, -122.22103891795373 37.76806644126808, -122.22080034704634 37.76806644126808, -122.22064597763567 37.768001729168404)"
